Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
106906605263454,魔戒：開戰時刻,These ads ran without a disclaimer,826781,9
108541027668420,盛世芳華,These ads ran without a disclaimer,823505,9
139800702555445,Victor Fang,方俊力,808798,51
237483602952352,黃適卓,適卓 黃,808269,3118
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,804026,1424
102002721267282,王婉諭,王婉諭,804009,157
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,803965,437
699398610097783,劉仁照,劉仁照,797936,217
2199675410320212,台灣制憲基金會 TNC,台灣制憲基金會 TNC,793500,298
109170440599350,奇蹟MU：跨時代-Webzen正版授權,These ads ran without a disclaimer,786084,7
2076907659231946,謝榮雅,謝榮雅,778537,6
2276445789109473,品觀點,品觀點,757316,601
112364983768638,司法院,司法院,746994,426
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,746111,134
335544036485779,經濟部,經濟部,744413,257
104624290080479,張育美,翊斌黃,739721,558
109892991956434,Tamorak母語共學園,社團法人台灣TAMORAK文教協會,739211,197
401843085061,台電電力粉絲團,台電,735849,53
106083882775455,江志銘 台北市議員,松颖周,734338,178
220168461484157,全統運動報名網,全統運動報名網,731427,353
1077663455665998,愛最大慈善光協會,貝殼放大股份有限公司,731402,285
191690867518507,江啟臣,江啟臣,729558,416
456170574528072,蘇巧慧,蘇巧慧,716486,195
240054519398747,The Philippines,These ads ran without a disclaimer,709157,1
1581712405392612,怎麼辦！,Juhsing Tsang,704639,170
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,699338,3515
359984657486560,周江杰,宗欣 吳,699076,228
191290960914397,林耕仁,Jie-Ying Chen,697483,496
365320250345879,林昶佐 Freddy Lim,林昶佐 Freddy Lim,695478,27
565594200546007,Mortlach 慕赫 2.81,These ads ran without a disclaimer,690890,14
306276709452272,文化部,文化部,687673,363
199044740213961,為台灣而教 Teach For Taiwan - TFT,Teach For Taiwan 為台灣而教,682509,247
682969731791064,正派 蔡明堂,正派 蔡明堂,670654,181
766804583451824,鄭宏輝,鄭宏輝,665711,165
104499778172400,臺灣雷伊漢勒世界公民中心,臺灣雷伊漢勒世界公民中心,664018,394
282131515802876,新北民政保平安,采威國際資訊股份有限公司,662986,541
569626243213799,生鮮時書,生鮮時書,662725,471
390569611008641,願景工程 Vision Project,聯合報系願景工程(Vision Project),658018,514
1890263611238474,陳冠廷 Kuan-Ting Chen,陳冠廷 Kuan-Ting Chen,655822,219
118663706593302,鍾東錦,金龍 陳,648216,150
1868765246771155,營養師 張語希,These ads ran without a disclaimer,647536,23
108757710546854,劉宥彤,執行長 劉宥彤,646141,39
191690867518507,江啟臣,啟臣江,644768,225
224451981016415,Mercedes-Benz Taiwan 台灣賓士,Mercedes-Benz Taiwan 台灣賓士,639344,56
101576862144790,工程師看政治,玄超 黃,635808,481
463654160373865,lativ,These ads ran without a disclaimer,631397,31
179708992651678,張善政,張善政,630562,63
116296548384351,許淑華Hsu Shu-Hua,淑華 許,616897,73
136508649732548,Gjun-就愛嗑英文吐司,These ads ran without a disclaimer,613116,30
333058400178329,鄭文燦,鄭文燦,608127,38
127628276929,天下雜誌,天下雜誌,605258,699
109172874049455,Poll-tex普特絲 防霾紗窗-台北展示中心,普特絲,604284,22
727855827262810,林家興 Alfred Lin,林家興 Alfred Lin,602911,373
1701909073234795,防霾紗窗Poll-tex普特絲 荷蘭進口,防霾紗窗Poll-tex普特絲 荷蘭進口,601769,30
1421185968116666,江肇國,江肇國,595270,201
180099508994152,張宏陸,張宏陸,594384,131
2142074882525226,張智倫,張智倫,593810,643
2385902435067954,LINE VOOM 台灣,LINE Taiwan Limited,592970,73
427700247958401,大黑幫 The Grand Mafia,These ads ran without a disclaimer,591564,36
114205273277203,中央選舉委員會,中央選舉委員會,589729,39
155906881874882,涂權吉,涂權吉,588793,281
186593071836,商業周刊（商周.com）,商業周刊（商周.com）,588312,125
1572448819666020,鄭寶清,鄭寶清,584686,324
148513668543221,地球公民基金會,地球公民基金會,582580,1486
103141681121150,城市學,遠見雜誌,577678,82
263363557936080,罷免王浩宇5.0之WeCare台灣,平榮 唐,571946,111
112907057194601,愛格沙-浪愛有糧計畫,These ads ran without a disclaimer,571891,23
103495412794650,蔣欣璋,蔣欣璋,564572,264
188358792124,聯經出版,聯經出版,562675,452
100581164963580,樂木集。lomoji。療癒系全方位保養品牌,These ads ran without a disclaimer,560820,75
1572670472973339,邱顯智,邱顯智,559980,420
1166761730160400,微光盒子,微光盒子,554670,247
145850399314114,林志潔,林志潔,549622,136
1537741526464370,桃園市議長邱奕勝,桃園市議長邱奕勝,549185,610
219165858131533,謝龍介,謝龍介,546143,23
1604793293120494,壯闊台灣 吳怡農,壯闊台灣 吳怡農,542969,70
102677907983355,呂宇晟,呂宇晟,542711,144
1633741366908742,曾獻瑩,章明吳,541540,53
130771133668155,許淑華,cacaFly,539976,482
108581354897568,華山論政,侯侯後援會,536033,267
154631861234059,吳秉叡,吳秉叡,535913,783
368397373312842,游顥,游顥,535417,283
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,534907,67
481065478629613,The News Lens 關鍵評論網,The News Lens 關鍵評論網,533891,301
110999150612962,移工在台灣,桃園群眾服務協會,532405,397
140282406003843,486先生,延昶 陳,517630,19
165533803086,魏嘉賢,振宇 黃,510558,248
