Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
291871461655780,PLUS Bucureşti,PLUS Bucureşti,79703,101
932511363436611,Cristian Dima,OPYUM ADVERTISING CA SRLD,77179,154
2274642619442922,Dominic Fritz,USR Timiș,76936,119
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,76910,38
108331397335412,Eduard Ciceu,Eduard Ciceu,76682,396
215328865181171,Borboly Csaba,Borboly Csaba,76613,627
143378845861681,PNL Mures,PNL Mures,75599,1170
873737539404529,USR Timiș,USR Timiș,75537,120
104339127576831,Ziareazi.ro,ziareazi.ro,75404,1401
1723480164579572,USR Brașov,Uniunea Salvați România,74122,67
708767705922205,Eurotrans Alapítvány,Eurotrans Alapítvány,73966,1205
1362765070466111,PMP Prahova - Oficial,PMP Prahova,73358,479
1587678041519354,PNL Neamt,Partidul National Liberal,73001,131
196347590385196,NewsGroup.biz,News-Group.biz,72657,52
117682741602835,Online Report,Online Report,71343,103
185088338177066,PNL IASI,PNL IASI,71288,458
252218321561994,Lia Olguta Vasilescu,PSD Dolj,71090,53
616741628836453,Adrian Câciu,Partidul Social Democrat,71015,99
697032654017634,Voicu Ion Valentin,ALDE Sector 5 - Alianta Liberalilor si Democratilor,70326,178
325161187517978,Marian Oprișan,Marian Oprișan,70030,101
100121064913116,Alianța USR PLUS Cluj,Partidul Uniunea Salvati Romania,69858,245
236992636715917,Simona Maria Vlădica,Partidul Mișcarea Populară Călărași,67930,158
144439666313596,Știri 365,Știri 365,67887,56
159027940804196,Consiliul Superior al Magistraturii,Complete media,67233,151
428870461343120,Ioan Sîrbu,Partidul Pro Romania,66865,25
180205302758780,Cristian Băcanu,PNL Sector 5,66648,162
177708185581280,Erdélyi Magyar Szövetség,Erdélyi Magyar Szövetség,66560,737
1657273667820719,USR București,USR București,66505,161
150967671609795,Victor Ponta,PRO România,66417,33
174291436685142,Gabriel Valer Zetea,Coalitia pentru Maramures,65847,67
309525925854654,Cristian Chirteș,Cristian Chirtes,65268,262
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,64874,180
107543802616247,Dacian Cioloş,PLUS,64838,14
106620659474852,Tanase Stamule,Tănase Stamule,64405,123
329619180721358,Cosette Chichirău,Chichirau Cosette-Paula,63785,157
1846867658972637,Free - Freedom and Respect for Every Earthling,Asociatia Freedom and Respect for Every Earthling (F.R.E.E.),63588,84
2380746071976634,USR Județul Hunedoara,Partidul Uniunea Salvați România,63443,164
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,62312,14
298765223557508,Ionel Arsene,Ionel Arsene,62286,156
412473149183859,PSD Judetul Constanta,PSD Filiala Constanța - 11200020,62165,40
678840505584990,PNL Bucuresti,PNL Bucuresti,62162,125
527351247377965,European Committee of the Regions,European Committee of the Regions,62063,271
321896004518929,Ioan Mang,Ioan Mang,60839,267
528408150903547,Stelian Ion,USR Constanța,60655,189
494469087244449,Eugen Tomac,Eugen Tomac,60609,32
105522854133423,Radu Panait,Alianta USR PLUS Satu Mare,60253,56
1210260295704425,USR Arad,Uniunea Salvați România filiala Arad,59802,536
1514760912172050,Marius Bodea,USR,59093,330
121759081312663,Cătălina Bozianu,PMP Prahova,58948,268
160389004118249,Iulian Dumitrescu,PNL Filiala Prahova,58877,62
654183651296677,Mircea Diaconu,Alianta UN OM,58755,25
288202044934655,Rasaliu Marian,PSD Brasov,58535,126
1780528075550888,USR Vrancea,Uniunea Salvați România - USR,58310,145
795022763862618,Viorel Cataramă,Handyman SRL,57712,147
138896782840976,Biroul Parlamentului European în România,Biroul Parlamentului European în România,57553,95
183575085437327,Ionut Catalin Stancu,Uniunea Salvați România - USR,57267,36
452093044903834,Radu Cristescu,PSD - Filiala Satu Mare,57140,154
984794278331401,Ionel Palăr,Branding Digital Strategy,57074,73
543681502428738,PSD Dolj,PSD Dolj,56097,100
110151597218723,Friends of the Earth,These ads ran without a disclaimer,55796,28
698760586929790,USR Constanța,USR Constanța,55795,221
100281298230215,Alianța USR PLUS Ilfov,"Partidul Libertate, Unitate și Solidaritate",55665,150
1065353630146161,Ionut Simionca,Ionut Simionca,55604,211
159850657881928,Costel Fotea,Costel Fotea,55231,82
1514760912172050,Marius Bodea,Marius Bodea,54528,454
324424001419299,Horia Constantinescu,eTrezirea,54503,85
1549073781993174,PNL Sector 5,PNL Sector 5,54309,351
182546041796641,Costel Alexe,Partidul Naţional Liberal,54210,229
474481680018003,Bogdan Toader,PSD Prahova,54185,327
1434447230188071,Rizia Tudorache,Partidul Mișcarea Populară Ilfov,53653,71
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,53524,669
1549421062018459,Alexandru Petrescu,Partidul Social Democrat,53446,70
2021287728125919,Stiri de Azi,Stiri de Azi,53288,54
1653699758248627,Ion ȘTEFAN,PNL Vrancea,52846,57
175857716097907,Marian Andronache,Partidul Mișcarea Populară Suceava,52620,63
712580168875913,Soós Zoltán,Soós Zoltán,52059,331
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,51895,324
344862328881749,Catalin Silegeanu,Catalin Silegeanu,51854,213
435614816576664,Claudiu Maior,PRO România Mureș,51711,93
1796777377209154,Regia Nationala a Padurilor - Romsilva,Regia Nationala a Padurilor - Romsilva,51395,339
486358554821325,Sergiu Bîlcea,Sergiu Bîlcea,51216,418
447787405313835,Dragos Benea,Dragos Benea,50718,233
1785666108373699,Calota Samuel,lpv media pro srl,50432,130
422079857963680,Partidul Național Liberal Filiala Constanța,Partidul Național Liberal Filiala Constanța,50321,137
109260655301896,Dezvaluiri,Dezvaluiri,50288,48
304735519648377,Guvernul României,Crucea Rosie Romana,50274,22
545080748992528,Ciprian Ciucu,PNL Sector 6,49982,127
108197590815908,Adrian Ionut Chesnoiu,Partidul Social Democrat,49891,44
552203444833617,e.on,These ads ran without a disclaimer,49592,70
471764082950159,Sebastian Burduja,Sebastian Ioan Burduja,48883,104
101021281285384,Info360,Info360.ro,48247,29
364457997442201,Iskola Alapítvány,Iskola Alapítvány,48095,731
213456325928364,Cosmin Vasile,PSD Dolj,48084,42
1653726584879481,Mihai Fifor,Fifor Mihai,48030,920
192813847556849,Catalin Ivan,Partidul Ecologist Român,48022,41
1469610256621123,PNL Dambovita,Advertising AD Connect,47569,381
107543802616247,Dacian Cioloş,Dacian Ciolos,47440,11
279454772645662,Nicu Ștefănuță,Nicu Ștefănuță,46993,180
144830532755824,PRO România București,PRO Romania Bucuresti,46798,63
290423314363157,Dan Cristian Popescu,Dan Cristian Popescu,46344,178
