Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,706,56
10250877124,Arab News,These ads ran without a disclaimer,701,7
114136708181361,Saudi Aid Centre,These ads ran without a disclaimer,694,5
0,Instagram User 4712735733,These ads ran without a disclaimer,658,7
111489838447962,Saudi Arabia2023,These ads ran without a disclaimer,651,2
101406965036912,الشمس والرمال للرياضة,These ads ran without a disclaimer,638,1
110624584648383,Almohaky App,These ads ran without a disclaimer,635,1
449841441731024,SentinelOne,These ads ran without a disclaimer,632,1
182492995603327,PepsiCo Middle East,These ads ran without a disclaimer,627,1
132819526758532,Siemens Healthineers,These ads ran without a disclaimer,609,4
311045425676624,صحيفة الرؤية,These ads ran without a disclaimer,607,2
162127223838766,صيدليات الدواء,These ads ran without a disclaimer,590,1
101907775761859,الشرق رياضة,These ads ran without a disclaimer,586,6
960461270684086,LuLu Hypermarketلولو هايبر ماركت,These ads ran without a disclaimer,576,7
101266249141558,هيئة تطوير محمية الملك سلمان بن عبدالعزيز الملكية,These ads ran without a disclaimer,572,2
112209068375578,Saudi Aid Centre 3,These ads ran without a disclaimer,571,4
178523645523314,Visit Qatar,These ads ran without a disclaimer,569,1
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,564,1
103244194540032,ستوديـو أبجـد - مكـة - الشرائـع,These ads ran without a disclaimer,563,1
103758491487477,D.s_design4,These ads ran without a disclaimer,559,4
312100182837086,Saudi German Health,These ads ran without a disclaimer,525,1
219413394581320,PTI KSA,Pakistan Tehreek - e - Insaf,522,1
104015742220554,Mimic,These ads ran without a disclaimer,500,10
107409428698536,Smart AlMamourah المعمورة الذكية,These ads ran without a disclaimer,490,1
113390063657853,Saudi Arabia Kingdom K.S.A,These ads ran without a disclaimer,483,11
112721671334021,ITE  الدراسة في تركيا,These ads ran without a disclaimer,444,5
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,443,1
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,440,8
500015143393887,SC Chikids,These ads ran without a disclaimer,427,5
101460842681784,TRT Afrika,These ads ran without a disclaimer,423,7
102153965975712,King's Real Estate,These ads ran without a disclaimer,407,1
104356656288007,International Hunting and Equestrian Exhibition - Abu Dhabi,These ads ran without a disclaimer,407,3
338109312883186,China Xinhua News,These ads ran without a disclaimer,406,96
108177505331553,BIBI RUKIA,These ads ran without a disclaimer,405,2
117818237850524,Tap - Digital Business Card KSA,These ads ran without a disclaimer,404,4
111006165161621,The Saudi Royal Court,These ads ran without a disclaimer,401,3
228097472888,International Open University - IOU,These ads ran without a disclaimer,390,2
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,384,5
110195223829958,Saudi Arabia Kingdom K.S.A,These ads ran without a disclaimer,379,8
389831551149929,AMN Healthcare International,These ads ran without a disclaimer,377,1
230676374137009,الصندوق الأسود,These ads ran without a disclaimer,375,1
112598913775038,Zerabi,These ads ran without a disclaimer,372,1
565225540184937,CGTN,These ads ran without a disclaimer,371,119
104219519233668,Mubasher Saudi Banks,These ads ran without a disclaimer,360,2
153460081183699,Hope FTC,These ads ran without a disclaimer,354,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,346,1
1408906946037255,Reach Education Fund,These ads ran without a disclaimer,346,2
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,344,3
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,336,7
105246295723983,The Saudi Food Show,These ads ran without a disclaimer,335,2
855254981507596,Atheer – أثير,These ads ran without a disclaimer,328,50
1524906604496888,Egyptian Ministry of Emigration - وزارة الهجرة المصرية,These ads ran without a disclaimer,328,2
111425141958605,Sparklo,These ads ran without a disclaimer,327,7
102074335941222,Amil in Karachi,These ads ran without a disclaimer,326,2
115746901581426,sarka_va,These ads ran without a disclaimer,324,3
1643397015961114,Grintafy - قرنتافاي,These ads ran without a disclaimer,322,1
141270813154032,السعودية stc pay,These ads ran without a disclaimer,313,1
104906609102724,Partanna,These ads ran without a disclaimer,307,2
126233413898877,N S R Real Estate,These ads ran without a disclaimer,303,1
116089389113458,Al Joman Medicine and Orthodontics Clinic,These ads ran without a disclaimer,300,3
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,298,20
100466846248633,AI Mage,These ads ran without a disclaimer,297,4
153834118287848,Nissan,These ads ran without a disclaimer,293,1
114819054776440,Sa2024,These ads ran without a disclaimer,289,1
160124200524932,Ｂｌａｃｋｆｒｉｄａｙ ｓａｕｄｉａ,These ads ran without a disclaimer,281,1
227437071109765,Nile Property Expo معرض عقارات النيل,These ads ran without a disclaimer,280,2
103782096099379,adela_abdalla_al_saud_,These ads ran without a disclaimer,278,7
138187802907388,Life at Mars,These ads ran without a disclaimer,275,2
266406697149857,Intersec KSA,These ads ran without a disclaimer,274,3
460022548071436,برا الصندوق,These ads ran without a disclaimer,273,20
100147952915019,Soady Week Winners’s 1,These ads ran without a disclaimer,270,1
108032181861181,Suno News HD,These ads ran without a disclaimer,270,2
106453575707248,KKFadvocacy,These ads ran without a disclaimer,268,2
245919921943529,Tamra Capitals,These ads ran without a disclaimer,267,3
109801405285363,Saudi Aid Centre 2,These ads ran without a disclaimer,266,2
432445257544169,Global City Community,These ads ran without a disclaimer,264,20
107861372048897,am_grx,These ads ran without a disclaimer,264,1
1677654442450340,Nova Water KSA - مياه نوڨا,These ads ran without a disclaimer,259,4
101985661610385,Annahar Al Arabi,These ads ran without a disclaimer,259,2
251976498539216,Erwin Tulfo,These ads ran without a disclaimer,254,2
103692401716059,شركة راجح للتسويق والبرمجة,These ads ran without a disclaimer,249,3
380101839432330,MedTech World,These ads ran without a disclaimer,249,2
100100476164238,Lujean,These ads ran without a disclaimer,244,5
106835702187641,مـنـحـة الـخيـر والامـل,These ads ran without a disclaimer,240,7
632124420169233,TRT Afrika Hausa,These ads ran without a disclaimer,240,1
244108199019564,الأسواق العربية - Al Arabiya Business,These ads ran without a disclaimer,235,3
101577142789810,مؤسسة محمد بن سلمان,These ads ran without a disclaimer,232,1
208529915880335,Stars of Science | نجوم العلوم,These ads ran without a disclaimer,231,1
103207939165209,Saudi winersa Today's,These ads ran without a disclaimer,228,1
856654974680996,dahsha01,These ads ran without a disclaimer,228,2
113573258266769,Bitcoineen,These ads ran without a disclaimer,227,1
103123312319760,tvcxfg4,These ads ran without a disclaimer,225,1
113295617800368,Yalla Deal,These ads ran without a disclaimer,225,2
106468835715812,misktravel.sa,These ads ran without a disclaimer,225,1
100861689446852,تضامن السعودية,These ads ran without a disclaimer,223,6
112462961647177,Msheirebqa,These ads ran without a disclaimer,218,3
104408135050196,Infinity Property,These ads ran without a disclaimer,217,1
363216311334411,DickEms,These ads ran without a disclaimer,217,1
771462172882741,OnePath Network,These ads ran without a disclaimer,216,5
108176682243072,Jalur Kesuksesan Bersama Kami,These ads ran without a disclaimer,215,5
109279451831036,دورة الألعاب السعودية,These ads ran without a disclaimer,215,2
600210726709604,Mark Marengo,These ads ran without a disclaimer,209,2
546525432056618,MBR School of Government,These ads ran without a disclaimer,206,4
103353529263904,مؤسسة محمد بن سلمان الخيرية,These ads ran without a disclaimer,205,1
150473311640966,Infobip,These ads ran without a disclaimer,201,1
448980525194494,POLIMI Graduate School of Management,These ads ran without a disclaimer,200,1
102107572136128,t4.travel,These ads ran without a disclaimer,199,1
110133591917672,Saudi Arabia2024,These ads ran without a disclaimer,197,1
971931992873167,Gate Academy,These ads ran without a disclaimer,195,2
103679842586535,منحة الامير محمد بن سلمان,These ads ran without a disclaimer,194,1
330087140411074,Empire Movies,These ads ran without a disclaimer,192,3
350498872086805,FII Institute,These ads ran without a disclaimer,192,14
115239148488920,Merck Group,These ads ran without a disclaimer,192,1
218665571331293,الجمعية الخيرية بمحافظة بحرة يسر,These ads ran without a disclaimer,191,3
407224476019242,World Governments Summit - القمة العالمية للحكومات,These ads ran without a disclaimer,191,9
101259114588812,vocallysa,These ads ran without a disclaimer,190,1
103600372654822,تذكار Tizcar,These ads ran without a disclaimer,189,1
101135556345315,Hasem Khan,These ads ran without a disclaimer,188,1
0,Instagram User 3674699327,These ads ran without a disclaimer,188,1
101709235817625,Whiteout Survival,These ads ran without a disclaimer,188,1
108294165135984,Saudi Arabia-New Year Winners,These ads ran without a disclaimer,186,1
363045117131692,مصنع اعمدة انارة تجميلية ديكورية  0553107671,These ads ran without a disclaimer,186,1
109885441549964,سمو الأميرة سحاب بنت عبدالله بن عبدالعزيز آل سعود,These ads ran without a disclaimer,186,3
103977015793836,"سقي الغيث لحفر الآبار _alghaith """,These ads ran without a disclaimer,184,4
1717497868504337,Truth and Moments,These ads ran without a disclaimer,183,3
104484341213023,جمعيه البر الخيرية بأم الدوم,AL BIRR CHARITABLE SOCIETY IN UMM AL-DOOM,181,2
100941005632594,متجر سمارت كريشنز,These ads ran without a disclaimer,179,1
114178005042840,دليلك الاستشاري,These ads ran without a disclaimer,178,1
102062252685161,Turkey Campus,These ads ran without a disclaimer,176,2
113448085040707,albandresa,These ads ran without a disclaimer,174,3
118285931534478,Rick Fox,These ads ran without a disclaimer,173,1
104538438737997,تكافل العربية,These ads ran without a disclaimer,172,1
109833285292932,tabah_sa,These ads ran without a disclaimer,171,2
194093047122234,Sau help,These ads ran without a disclaimer,170,2
161090150420856,سمو الاميره سحاب بنت عبدالله آل سعود,These ads ran without a disclaimer,168,1
135156639833927,United Nations OCHA,These ads ran without a disclaimer,168,27
134219493099305,সৌদি আরব পূর্বাঞ্চল যুবদল কেন্দ্রীয় কমিটি - Saudi Arab Purbanchol Jubodol,Mediatechsolution.com,168,15
269432993489436,قصر الكبابجي - Qasr ElKbabgi,These ads ran without a disclaimer,161,1
110740228601513,سمو الا ميرة سحاب بنت عبدالله آل سعود,These ads ran without a disclaimer,161,2
101105049294796,CNN Business Arabic الاقتصادية CNN,These ads ran without a disclaimer,159,3
102035069203173,foodfitness.sa,These ads ran without a disclaimer,157,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,156,2
244196442342820,Muslim Pro,These ads ran without a disclaimer,155,2
105311938353424,Trading Legend รวยรวยรวย - 37Games,These ads ran without a disclaimer,155,3
298710386661650,Maymanshow,These ads ran without a disclaimer,154,1
104304305806035,Smart Saudia,These ads ran without a disclaimer,153,3
0,Instagram User 6076287010,These ads ran without a disclaimer,152,1
106168522018507,Saudi Arabia-New Year Winners,These ads ran without a disclaimer,150,1
103962319170788,abeer13nov,These ads ran without a disclaimer,150,1
113724621214286,saharaartwork,These ads ran without a disclaimer,150,1
101864822642456,r.ncases,These ads ran without a disclaimer,150,1
109240544796543,دلال عريقات Dalal Iriqat,These ads ran without a disclaimer,150,2
103425789181372,Human-Healthcare.Com,These ads ran without a disclaimer,149,2
125310737338273,Send Them Home,These ads ran without a disclaimer,149,4
104635565852020,Cozy,These ads ran without a disclaimer,148,1
114187068272331,bwsltn2441,These ads ran without a disclaimer,146,2
641539016006215,Tri-World Developers,These ads ran without a disclaimer,146,2
158714780827513,UNFPA,These ads ran without a disclaimer,146,87
5777172751,Splunk,These ads ran without a disclaimer,145,1
153371894688575,World Bank,These ads ran without a disclaimer,144,16
582894035243561,Enjoy Saudi  عيشها,These ads ran without a disclaimer,143,1
100904822517086,Non-Trivial,These ads ran without a disclaimer,142,18
113158591886547,SDB,These ads ran without a disclaimer,141,2
102610592675091,Taj Institute of HSE - Pakistan,These ads ran without a disclaimer,140,3
