Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
569620166451504,ชาญ พวงเพ็ชร์,ชาญ พวงเพ็ชร์,235533,103
313621832871520,พลตำรวจโทคำรณวิทย์ ธูปกระจ่าง,พลตำรวจโทคำรณวิทย์ ธูปกระจ่าง,229273,68
476608676019726,หนังสือสรุปคนโปรด อ่านง่าย เข้าใจไว,These ads ran without a disclaimer,227325,338
1105604039583762,Line One สว.นท. ขอเชิญส่งประวัติ ส่วนตัว องค์กร เพื่อเข้ารับรางวัลประจำปี,Line One สว.นท. ขอเชิญส่งประวัติ ส่วนตัว องค์กร เพื่อเข้ารับรางวัลประจำปี,225317,60
112073738279329,สิงโต - ศักดิ์สิทธิ์ ขาวทอง,สิงโต - ศักดิ์สิทธิ์ ขาวทอง,218435,281
598951253533198,คริส โปตระนันทน์ - Chris Potranandana,คริส โปตระนันทน์ - Chris Potranandana,207024,22
1476977969108613,จิ๊บ ศศิกานต์ วัฒนะจันทร์,Sasikarn Watthanachan,206783,34
622674297897819,Screenshirt2020,Screenshirt2020,201654,24
490715381426766,บิลลี่ - Jirawat Arunyakanon - จิรวัฒน์ อรัณยกานนท์,บิลลี่ - Jirawat Arunyakanon - จิรวัฒน์ อรัณยกานนท์,199230,95
100624122148338,โรงพยาบาลรวมใจรักษ์ สุขุมวิท 62 Ruamjairak Hospital Sukhumvit 62,โรงพยาบาลรวมใจรักษ์ สุขุมวิท 62 Ruamjairak Hospital Sukhumvit 62,196921,2114
567028733726812,ต่อศักดิ์  อัศวเหม,ต่อศักดิ์  อัศวเหม,195000,14
115922723434700,ครูเจพีสรุปย่อ for Teacher,ครูเจพีสรุปย่อ for Teacher,188560,41
104427797605274,พี่ต่อ ดร.เฉลิมชัย ศรีอ่อน “คำไหน-คำนั้น”,พี่ต่อ ดร.เฉลิมชัย ศรีอ่อน “คำไหน-คำนั้น”,182872,451
100156488333982,ศุภชัย นพขำ ปทุมธานี พรรคเพื่อไทย,ศุภชัย นพขำ ปทุมธานี พรรคเพื่อไทย,181205,41
104645182578478,นิรันดร์ วัฒนศาสตร์สาธร,Supakit Ngoenkaew,177509,116
177438153830567,พลอยทะเล ลักษมีแสงจันทร์,พลอยทะเล ลักษมีแสงจันทร์,174361,85
112953064222988,อั๋น ภูวดล วงษ์โสภณากุล,อั๋น ภูวดล วงษ์โสภณากุล,169048,48
2083379161750953,ชัยยศ ปัญญาไวย ประชาธิปัตย์ภูเก็ต,ชัยยศ ปัญญาไวย ประชาธิปัตย์ภูเก็ต,168336,85
103493019318704,เพิ่มพงศ์ วงศ์ทรายทอง - เบลล์,เพิ่มพงศ์ วงศ์ทรายทอง,166762,80
104179515944602,ประชาธิปัตย์ จันทบุรี-ตราด,Unicronet - Digital Marketing Solution,166072,305
106212605666715,จ๋ายกวี  คนต่งห่อหยัดได้,Kaweejaiphuket,165152,79
115195181447846,อ้อ ศิรินันท์ ศิริพานิช,อ้อ ศิรินันท์ ศิริพานิช,164757,129
106500602280120,เตรียมสอบข้อราชการท้องถิ่น อปท. กพ.,เตรียมสอบข้อราชการท้องถิ่น อปท. กพ.,164339,38
2230596726985945,ฮาย ปวิศรัฐฐ์ ติยะไพรัช,บริษัท เวิร์ค 360 จำกัด,164226,23
118757751143686,อิทธิพล ชลธราศิริ - Itthiphon Chontharasiri - แบงค์ชัย พรรคก้าวไกล,Itthiphon Chontharasiri,163006,53
105992549162758,ข่าวชีวิตติดกระแส,บริษัท เดนิส แอดส์ จำกัด,161327,355
1664134843802676,ก้อง อรรฆรัตน์ นิติพน,Akarat Nitibhon,161174,240
110706358166434,อาจารย์ลักษณ์ โหรฟันธง,These ads ran without a disclaimer,160006,4
106337912336664,ปั้น ณัทกร แก้วพิจิตร,ปั้น ณัทกร แก้วพิจิตร,156429,89
264065496937763,My Chavapol (ชวพล วัฒนพรมงคล),My Chavapol (ชวพล วัฒนพรมงคล),155578,45
112332525119611,เอกภาพ หงสกุล ผู้สมัคร ส.ส.พรรคเพื่อไทย เขตสายไหม,เอกภาพ หงสกุล ผู้สมัคร ส.ส.พรรคเพื่อไทย เขตสายไหม,154246,99
475355145913095,ข่าวหุ้นธุรกิจ - Kaohoon,These ads ran without a disclaimer,151154,2
112969264517494,เพ็ญพิสุทธิ์ จินตโสภณ - Penpisut Jintasophon,เพ็ญพิสุทธิ์ จินตโสภณ - Penpisut Jintasophon,150145,44
182657125936067,พรรคภูมิใจไทย,พรรคภูมิใจไทย,150102,83
119181906609798,หมอเฉลิมชัย กุลาเลิศ ผู้สมัคร ส.ส. พรรคก้าวไกล เขตห้วยขวาง วังทองหลาง,Chalermchai Kulalert,149265,7
111341764925564,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,148923,316
972019486321939,บู้ จเด็ศ จันทรา,บู้ จเด็ศ จันทรา,147266,279
2063769860568661,ก้าวไกลอาสา ทั่วอยุธยามีรอยยิ้ม,ก้าวไกลอาสา ทั่วอยุธยามีรอยยิ้ม,145006,25
175410509263870,Thai Watsadu,These ads ran without a disclaimer,143200,42
103503346076459,สมเกียรติ ตันตระกูล,8898PRODUCTION COMPANY LIMITED,140091,13
105125715202609,ส.ส.ไผ่ ลิกค์,ส.ส.ไผ่ ลิกค์,139697,328
107449532000210,ธิติวัฐ อดิศรพันธ์กุล - Thitiwat Adisornphankul,ธิติวัฐ อดิศรพันธ์กุล - Thitiwat Adisornphankul,138912,104
106077174160828,Entretenimiento,These ads ran without a disclaimer,138338,4
102803105638809,ประชาธิปไตยกินได้,ประชาธิปไตยกินได้,138053,61
104769961794110,อินทรัตน์ ยอดบางเตย,อินทรัตน์ ยอดบางเตย,137274,384
234345809961492,สส.จ๋า - ดร.วชิราภรณ์ กาญจนะ,อดีต ส.ส.จ๋า - วชิราภรณ์ กาญจนะ,136408,60
113060297269340,สมทรง พันธ์เจริญวรกุล,สมทรง พันธ์เจริญวรกุล,132363,67
157659344260788,จุรินทร์ ลักษณวิศิษฏ์ Aoodda,Ruthaikan Tanomkerd,132255,73
112969264517494,เพ็ญพิสุทธิ์ จินตโสภณ - Penpisut Jintasophon,Vatcharapong Wongkom,132039,131
104393812499502,ชีทสรุปกฎหมาย สำหรับสอบราชการ พนักงานราชการ by.kantap,ชีทสรุปกฎหมาย สำหรับสอบราชการ พนักงานราชการ by.kantap,129045,32
108235995177438,ตรีสิทธิ์ ศิริวรรณ - Treesith Siriwan,ตรีสิทธิ์ ศิริวรรณ - Treesith Siriwan,129014,14
142756472518931,สุภาภรณ์ คงวุฒิปัญญา,สุภาภรณ์ คงวุฒิปัญญา,126019,450
188107458258082,Mono News - ข่าวโมโน,Mono News - ข่าวโมโน,125524,132
105347558390671,นริสสร แสงแก้ว,นริสสร แสงแก้ว,125258,64
104809958598855,อั้ม อดุลวิทย์ วิวัฒน์ธนาฒย์,อั้ม อดุลวิทย์ วิวัฒน์ธนาฒย์,124193,20
100454798870209,พรรคเส้นด้าย - Zendai Party,พรรคเส้นด้าย - Zendai Party,122445,44
111203087295386,ดร.ทวนชัย นิยมชาติ,Thuanchai Niyomchart,118729,25
105347558390671,นริสสร แสงแก้ว,Attaporn Pohkaew,118398,196
2131398436998925,ชนินทร์ รุ่งแสง ปชป.,ชนินทร์ รุ่งแสง ปชป.,117906,40
239251023642201,Kevarin Clinic,These ads ran without a disclaimer,116267,6
103564334541717,คลินิกพญ.เบญญาภา-นพ.กิตติศักดิ์,These ads ran without a disclaimer,116231,16
100281742774712,อำนาจ วิชัย พะเยา,อำนาจ วิชัย พะเยา,114927,60
257083724467673,ยุทธพล  อังกินันทน์,ยุทธพล อังกินันทน์,112322,110
418729291509368,สถาบันปรีดี พนมยงค์ Pridi Banomyong Institute,สถาบันปรีดี พนมยงค์ Pridi Banomyong Institute,111934,1023
1686179558087025,ไพลิน เทียนสุวรรณ,ไพลิน เทียนสุวรรณ,111052,215
1683658098593742,THE STANDARD,"THE STANDARD CO., LTD",111024,39
172057439546202,พันโท สินธพ แก้วพิจิตร (เสธ.แก้ว),พันโท สินธพ แก้วพิจิตร (เสธ.แก้ว),110597,79
110726914099197,น้ำมันสกัด 11 ชนิด - ราคาส่ง เพจบริษัท,These ads ran without a disclaimer,107851,111
110954691955005,รณภูมิ ชลศิริ,ninety two tech ads,107719,53
1105604039583762,Line One สว.นท. ขอเชิญส่งประวัติ ส่วนตัว องค์กร เพื่อเข้ารับรางวัลประจำปี,Suksan Booran,105891,26
121703384177249,ดร.แวววรรณ ก้องไตรภพ - ชาติพัฒนากล้า,Apidech Samankul,105445,41
204016840519336,ศ.ดร.นฤมล ภิญโญสินวัฒน์ Prof.Dr.Narumon Pinyosinwat,ศ.ดร.นฤมล ภิญโญสินวัฒน์,104902,91
1635406246730420,วรงค์ เดชกิจวิกรม - Warong Dechgitvigrom,วรงค์ เดชกิจวิกรม - Warong Dechgitvigrom,104503,161
329083600579850,เอกภัทร ภัทร์รัศมี,Krittin Maneerat,102843,39
110671224575180,กานต์ ภัสริน รามวงศ์ - Patsarin Ramwong,กานต์ ภัสริน รามวงศ์ - Patsarin Ramwong,101871,203
104355192139176,วิฑูร ลี้ธีระนานนท์,วิฑูร ลี้ธีระนานนท์,101350,18
104963151112166,การเมือง kanmuang.com,การเมือง kanmuang.com,100994,37
467424870040934,ปกรณ์ อารีกุล,ปกรณ์ อารีกุล,100636,90
104014285798198,กานต์ กิตติอำพน,กานต์ กิตติอำพน,96832,129
107535498701936,ธาม สมุทรานนท์  บางกะปิ-วังทองหลาง,Yonlapat Wangsarn,95667,42
122536042982,Land and Houses,These ads ran without a disclaimer,94399,6
